artist_id,artist_name,account_id,num_followers,avg_likes,avg_comments,avg_views,likes_not_from_followers,male_amount,female_amount,ages_13_17,ages_18_24,ages_25_34,ages_35_44,ages_45_64,ages_65_,male_13_17,female_13_17,male_ages_18_24,female_ages_18_24,male_ages_25_34,female_ages_25_34,male_ages_35_44,female_ages_35_44,male_ages_45_64,female_ages_45_64,male_ages_65_,female_ages_65_,follower_white,follower_african_american,follower_asian,follower_hispanic,follower_lang_en,follower_lang_es,follower_lang_pt,follower_lang_de,follower_lang_ja,follower_lang_zh,follower_lang_id,follower_lang_ru,follower_lang_fr,follower_interest_name_1,follower_interest_amount_1,follower_interest_name_2,follower_interest_amount_2,follower_interest_name_3,follower_interest_amount_3,follower_interest_name_4,follower_interest_amount_4,follower_interest_name_5,follower_interest_amount_5,follower_country_code_1,follower_country_weight_1,follower_country_code_2,follower_country_weight_2,follower_country_code_3,follower_country_weight_3,follower_country_code_4,follower_country_weight_4,follower_country_code_5,follower_country_weight_5,last_updated,reachability_500,reachability_500_1000,reachability_1000_1500,reachability_1500_,notable_users_ratio,audience_credibility,credibility_class,created_at,engagement_rate,engagements
1733,Marvin Sapp,7185240,607250.0,708.0,20.0,,0.832077,0.761457,0.238543,0.020699,0.154936,0.411719,0.261492,0.149418,0.001736,0.011806,0.008893,0.09809,0.056846,0.312326,0.099393,0.213889,0.047604,0.123611,0.025807,0.001736,0.0,0.575618,0.11185,0.12549,0.187042,0.654728,0.129863,0.074337,0.006184,0.002319,0.006184,0.00992,0.013914,0.010435,Camera & Photography,0.733922,"Travel, Tourism & Aviation",0.484271,Electronics & Computers,0.457307,Art & Design,0.400899,Television & Film,0.3947,US,0.381698,BR,0.072978,IN,0.056601,MX,0.028444,CA,0.023129,2025-11-02 19:00:00,0.2812,0.1815,0.1249,0.4124,0.2788,0.7618,bad,2025-11-05,0.1166,
1733,Marvin Sapp,7185240,607250.0,708.0,20.0,,0.832077,0.761457,0.238543,0.020699,0.154936,0.411719,0.261492,0.149418,0.001736,0.011806,0.008893,0.09809,0.056846,0.312326,0.099393,0.213889,0.047604,0.123611,0.025807,0.001736,0.0,0.575618,0.11185,0.12549,0.187042,0.654728,0.129863,0.074337,0.006184,0.002319,0.006184,0.00992,0.013914,0.010435,Camera & Photography,0.733922,"Travel, Tourism & Aviation",0.484271,Electronics & Computers,0.457307,Art & Design,0.400899,Television & Film,0.3947,US,0.381698,BR,0.072978,IN,0.056601,MX,0.028444,CA,0.023129,2025-11-02 19:00:00,0.2812,0.1815,0.1249,0.4124,0.2788,0.7618,bad,2025-11-06,0.1166,
1733,Marvin Sapp,46990483,5278.0,68.0,15.0,,0.553646,0.50826,0.49174,0.024352,0.173766,0.575682,0.192615,0.033223,0.000363,0.004353,0.019998,0.059134,0.114632,0.275353,0.300329,0.145476,0.047138,0.023581,0.009642,0.000363,0.0,0.24894,0.635452,0.058959,0.056649,0.964038,0.008908,0.006928,0.00132,0.0,0.00033,0.00033,0.003629,0.004619,Music,0.522604,"Clothes, Shoes, Handbags & Accessories",0.431284,Television & Film,0.346745,"Friends, Family & Relationships",0.339964,Art & Design,0.334087,US,0.9092,JM,0.008839,ZA,0.00683,GB,0.00683,NG,0.006027,2025-07-07 20:00:00,0.153232,0.164048,0.124903,0.557816,0.544682,0.773886,bad,2025-08-07,1.2884,
1733,Marvin Sapp,49959207,937735.0,1106.0,88.0,,0.621441,0.317197,0.682803,0.015291,0.099249,0.418883,0.326287,0.140003,0.000287,0.004782,0.010509,0.034632,0.064616,0.125198,0.293685,0.110852,0.215435,0.041588,0.098416,0.000145,0.000142,0.175325,0.704953,0.058442,0.06128,0.944463,0.007303,0.028872,0.000849,0.000849,0.0,0.000679,0.001359,0.0107,"Friends, Family & Relationships",0.427564,"Toys, Children & Baby",0.313141,Music,0.3,Wedding,0.275641,"Clothes, Shoes, Handbags & Accessories",0.260577,US,0.629849,NG,0.142575,ZA,0.047195,BR,0.034594,GH,0.029652,2025-11-05 19:00:00,0.3063,0.1785,0.122,0.3932,0.1951,0.7447,bad,2025-11-06,0.1179,
7393,Alanis Morissette,143593679,1536438.0,57947.0,1208.0,,0.854971,0.267427,0.732573,0.015328,0.143649,0.395575,0.326529,0.118146,0.000772,0.002679,0.012649,0.021274,0.122375,0.091086,0.304489,0.104639,0.22189,0.047434,0.070712,0.000315,0.000457,0.680136,0.033313,0.108267,0.178285,0.618144,0.12832,0.14229,0.010866,0.00138,0.0,0.004829,0.003622,0.014833,"Friends, Family & Relationships",0.463545,"Restaurants, Food & Grocery",0.398323,"Toys, Children & Baby",0.388772,Camera & Photography,0.363848,Music,0.349173,US,0.380835,BR,0.133868,CA,0.064158,GB,0.056755,IT,0.049352,2025-11-05 19:00:00,0.2788,0.2363,0.1372,0.3477,0.1513,0.7722,bad,2025-11-06,3.7715,
7393,Alanis Morissette,50731128979,9903.0,64.0,18.0,,,0.905016,0.094984,0.016551,0.146866,0.452058,0.294524,0.089735,0.000266,0.012223,0.004328,0.117711,0.029156,0.401491,0.050567,0.285641,0.008883,0.087685,0.00205,0.000266,0.0,0.357108,0.400207,0.092355,0.150329,0.914301,0.058097,0.007361,0.000526,0.000526,0.001577,0.000526,0.001314,0.001577,Television & Film,0.342857,Music,0.318296,Sports,0.299749,"Friends, Family & Relationships",0.290727,"Restaurants, Food & Grocery",0.285714,US,0.883031,MX,0.014827,IN,0.01318,GR,0.007414,BR,0.006178,2025-07-07 20:00:00,0.312536,0.163839,0.10657,0.417056,0.128316,0.535352,bad,2025-08-07,0.6463,
4644,Feid,146001379,14703820.0,432372.0,3123.0,,,0.416068,0.583932,0.063701,0.443507,0.425237,0.058547,0.008875,0.000132,0.017877,0.045825,0.183526,0.259981,0.180354,0.244883,0.02941,0.029137,0.004902,0.003973,0.0,0.000132,0.150127,0.014801,0.042289,0.792783,0.074578,0.828794,0.051394,0.001783,0.000649,0.0,0.001783,0.001459,0.007944,"Friends, Family & Relationships",0.345264,Music,0.316079,"Clothes, Shoes, Handbags & Accessories",0.281938,Camera & Photography,0.237335,"Travel, Tourism & Aviation",0.211454,CO,0.257563,US,0.088375,VE,0.083621,AR,0.074762,MX,0.070225,2025-11-05 19:00:00,0.2888,0.2354,0.1248,0.351,0.2228,0.7218,bad,2025-11-06,2.9405,
4653,Morat,226035022,4465135.0,61585.0,421.0,,0.891581,0.174789,0.825211,0.077232,0.467751,0.388668,0.058218,0.008131,0.0,0.009251,0.06798,0.078634,0.389117,0.068402,0.320266,0.015839,0.042379,0.002663,0.005468,0.0,0.0,0.120612,0.010051,0.04523,0.824107,0.052613,0.920209,0.009059,0.000871,0.000174,0.0,0.000697,0.000348,0.003659,"Friends, Family & Relationships",0.433231,"Travel, Tourism & Aviation",0.278797,"Toys, Children & Baby",0.272171,Camera & Photography,0.25841,Music,0.230377,MX,0.310491,CO,0.183036,ES,0.08058,AR,0.072098,PE,0.057143,2025-11-04 19:00:00,0.3595,0.2895,0.1396,0.2114,0.1845,0.8536,normal,2025-11-05,1.3792,
4653,Morat,226035022,4465135.0,61585.0,421.0,,0.891581,0.174789,0.825211,0.077232,0.467751,0.388668,0.058218,0.008131,0.0,0.009251,0.06798,0.078634,0.389117,0.068402,0.320266,0.015839,0.042379,0.002663,0.005468,0.0,0.0,0.120612,0.010051,0.04523,0.824107,0.052613,0.920209,0.009059,0.000871,0.000174,0.0,0.000697,0.000348,0.003659,"Friends, Family & Relationships",0.433231,"Travel, Tourism & Aviation",0.278797,"Toys, Children & Baby",0.272171,Camera & Photography,0.25841,Music,0.230377,MX,0.310491,CO,0.183036,ES,0.08058,AR,0.072098,PE,0.057143,2025-11-04 19:00:00,0.3595,0.2895,0.1396,0.2114,0.1845,0.8536,normal,2025-11-06,1.3792,
9228,Lila Downs,19214642,485596.0,10531.0,83.0,,0.704889,0.370689,0.629311,0.025804,0.202955,0.43895,0.245487,0.085413,0.001391,0.008398,0.017407,0.061769,0.141186,0.158995,0.279955,0.099465,0.146021,0.041315,0.044098,0.000746,0.000645,0.187415,0.019388,0.033605,0.759592,0.170059,0.732877,0.021331,0.002348,0.000978,0.0,0.002348,0.003914,0.006262,"Friends, Family & Relationships",0.397002,"Travel, Tourism & Aviation",0.305534,Camera & Photography,0.293236,Music,0.289008,"Toys, Children & Baby",0.284781,MX,0.590019,US,0.152133,AR,0.054199,ES,0.026831,CO,0.020123,2025-11-05 19:00:00,0.4107,0.1902,0.1102,0.2889,0.1218,0.7626,bad,2025-11-06,2.1687,
