feature,importance
follower_white_lag4,40840.05721144349
follower_hispanic_lag4,38570.19586282241
follower_african_american_lag4,27297.198185888563
follower_asian_lag4,19773.637262980676
follower_white_lag2,11977.497233975671
follower_hispanic_lag2,11683.653399786588
follower_african_american_lag2,6654.359594906928
follower_asian_lag2,5466.978685597914
follower_white_lag1,4139.709019313904
follower_hispanic_lag1,4021.1174363586024
follower_african_american_lag1,2278.728661666493
follower_asian_lag1,2071.524729839022
dma_count_streams_lag4,1.3323299645997515
dma_count_streams_roll8_mean,0.9003345510568579
engagement_rate_roll8_std,0.8210825498226768
engagement_rate_roll4_std,0.5203187374536355
dma_count_streams_lag1,0.48550268135948527
follower_lang_es_lag4,0.43149673053460286
follower_lang_es_lag2,0.3315982351531953
follower_lang_de_lag1,0.2635854215877771
