feature,importance
st_num_tickets_roll8_mean,0.16313729692960555
st_num_tickets_lag2,0.10115313444347312
st_num_tickets_lag4,0.08553928030993595
st_num_tickets_lag1,0.0784218252012595
st_num_tickets_roll4_mean,0.075883944070353
engagement_rate_roll8_mean,0.06700663792124449
follower_lang_pt_lag4,0.05936412100177805
engagement_rate_roll4_std,0.03542151703898714
follower_lang_pt_lag1,0.025550972007543166
engagement_rate_roll8_std,0.024966283938590766
engagement_rate_roll4_mean,0.02452805972699711
follower_lang_fr_lag1,0.024415253850314858
follower_lang_pt_lag2,0.013841788967017227
dma_count_streams_roll8_mean,0.013622972658760165
follower_african_american_lag1,0.012696381945930391
follower_african_american_lag2,0.012538112422882388
follower_white_lag4,0.011337789609727708
follower_lang_fr_lag2,0.010612479193407463
follower_white_lag2,0.010189045882983349
follower_lang_fr_lag4,0.00952917988662633
