feature,correlation,abs_correlation,contribution_type
follower_african_american_growth_1w,0.21691760901388732,0.21691760901388732,Positive
follower_lang_pt_lag1,0.1542648493986997,0.1542648493986997,Positive
dma_count_tickets_l_roll4_std,-0.14583211750395933,0.14583211750395933,Negative
follower_lang_pt_lag4,0.14478444956682754,0.14478444956682754,Positive
follower_lang_pt_lag2,0.13461780303311496,0.13461780303311496,Positive
dma_count_streams_roll8_mean,-0.12439234879413505,0.12439234879413505,Negative
dma_count_tickets_l_roll8_std,-0.10761870774613656,0.10761870774613656,Negative
dma_count_streams_roll4_mean,-0.10722773852793903,0.10722773852793903,Negative
dma_count_streams_lag1,-0.10673892700623305,0.10673892700623305,Negative
dma_count_streams_lag2,-0.10649465220476101,0.10649465220476101,Negative
dma_count_streams_lag4,-0.10622610917286202,0.10622610917286202,Negative
dma_count_streams_roll8_std,0.08210316562474178,0.08210316562474178,Positive
follower_african_american_lag1,-0.07937523829530568,0.07937523829530568,Negative
follower_lang_en_lag2,-0.07717396716133766,0.07717396716133766,Negative
dma_count_tickets_t_roll4_std,-0.0764768765821559,0.0764768765821559,Negative
follower_lang_es_lag2,0.07493800706494454,0.07493800706494454,Positive
dma_count_tickets_l_lag4,-0.06720334420437224,0.06720334420437224,Negative
follower_lang_fr_lag1,0.06608301696839695,0.06608301696839695,Positive
follower_african_american_lag2,-0.0658386236851476,0.0658386236851476,Negative
follower_hispanic_lag2,0.06518931643775473,0.06518931643775473,Positive
st_num_tickets_roll4_std,-0.06433101200753528,0.06433101200753528,Negative
dma_count_tickets_l_roll8_mean,-0.06136068670068751,0.06136068670068751,Negative
follower_white_growth_1w,-0.0603065203742466,0.0603065203742466,Negative
dma_count_tickets_l_roll4_mean,-0.059125424939080504,0.059125424939080504,Negative
dma_count_tickets_l_lag2,-0.05897091657018664,0.05897091657018664,Negative
follower_lang_zh_lag4,0.055327769166257486,0.055327769166257486,Positive
follower_asian_lag2,-0.052190980876046365,0.052190980876046365,Negative
st_num_tickets_roll8_std,-0.050369368814009885,0.050369368814009885,Negative
dma_count_tickets_l_lag1,-0.04606519337336106,0.04606519337336106,Negative
engagement_rate_roll4_std,0.045609461217911526,0.045609461217911526,Positive
engagement_rate_roll8_std,0.04512445240557378,0.04512445240557378,Positive
follower_white_growth_4w,-0.04382501258281036,0.04382501258281036,Negative
follower_lang_en_lag1,-0.03879230263544129,0.03879230263544129,Negative
engagement_rate_roll8_mean,0.03620030581577858,0.03620030581577858,Positive
engagement_rate_roll4_mean,0.035285633231205434,0.035285633231205434,Positive
follower_hispanic_lag1,0.03489787110627096,0.03489787110627096,Positive
follower_lang_es_lag1,0.033153126999679955,0.033153126999679955,Positive
dma_count_streams_growth_1w,0.029543927922588354,0.029543927922588354,Positive
dma_count_tickets_t_roll4_mean,-0.029380438059287108,0.029380438059287108,Negative
dma_count_tickets_t_roll8_std,-0.02896681699042095,0.02896681699042095,Negative
dma_count_tickets_t_lag1,-0.028701311761005408,0.028701311761005408,Negative
follower_lang_de_lag4,0.02707884742911992,0.02707884742911992,Positive
follower_lang_de_lag1,0.02703811672026804,0.02703811672026804,Positive
dma_count_streams_roll4_std,-0.026486210884478504,0.026486210884478504,Negative
dma_count_tickets_t_lag2,-0.026236270851774737,0.026236270851774737,Negative
follower_lang_de_lag2,0.024908515731129496,0.024908515731129496,Positive
follower_asian_lag4,-0.02204622559231912,0.02204622559231912,Negative
st_num_tickets_lag4,-0.022015523953037498,0.022015523953037498,Negative
follower_lang_fr_lag2,-0.020015369203381574,0.020015369203381574,Negative
st_num_tickets_roll4_mean,-0.01998329087186621,0.01998329087186621,Negative
follower_lang_zh_lag2,-0.018852007649306893,0.018852007649306893,Negative
follower_hispanic_lag4,0.018764284609759582,0.018764284609759582,Positive
st_num_tickets_lag2,-0.018515480221249676,0.018515480221249676,Negative
dma_count_tickets_t_lag4,-0.01521850344860203,0.01521850344860203,Negative
engagement_rate_lag2,0.014632250886872263,0.014632250886872263,Positive
st_num_tickets_lag1,-0.014530379109906464,0.014530379109906464,Negative
st_num_tickets_roll8_mean,-0.01350768053680968,0.01350768053680968,Negative
follower_white_lag1,0.013210947306906053,0.013210947306906053,Positive
follower_lang_en_lag4,0.012800608074298921,0.012800608074298921,Positive
follower_asian_lag1,-0.007910605731711762,0.007910605731711762,Negative
dma_count_tickets_t_roll8_mean,-0.007709423397135085,0.007709423397135085,Negative
engagement_rate_lag4,0.007120578612934228,0.007120578612934228,Positive
dma_count_streams_growth_4w,-0.00566675081545942,0.00566675081545942,Negative
follower_african_american_lag4,-0.004255739599562364,0.004255739599562364,Negative
follower_white_lag4,-0.004235039020592577,0.004235039020592577,Negative
follower_lang_fr_lag4,-0.004006710717008497,0.004006710717008497,Negative
follower_white_lag2,-0.003163594187752766,0.003163594187752766,Negative
follower_lang_zh_lag1,0.0014526746517633687,0.0014526746517633687,Positive
engagement_rate_lag1,0.000941986251270993,0.000941986251270993,Positive
follower_african_american_growth_4w,-0.0009254471982977386,0.0009254471982977386,Negative
follower_lang_es_lag4,0.0008164346601201768,0.0008164346601201768,Positive
