feature,correlation,abs_correlation,contribution_type
dma_count_streams_roll8_std,0.10730124872913707,0.10730124872913707,Positive
follower_lang_fr_lag1,0.0993507359484089,0.0993507359484089,Positive
engagement_rate_roll8_mean,0.09508789405170077,0.09508789405170077,Positive
engagement_rate_roll4_mean,0.09440005020404507,0.09440005020404507,Positive
engagement_rate_lag1,0.09426584495964341,0.09426584495964341,Positive
st_num_tickets_roll8_mean,0.07328705483982317,0.07328705483982317,Positive
dma_count_tickets_t_roll4_mean,-0.0682888648797844,0.0682888648797844,Negative
st_num_tickets_lag1,0.06582729279913294,0.06582729279913294,Positive
dma_count_tickets_t_lag1,-0.06430296530171141,0.06430296530171141,Negative
dma_count_tickets_t_lag2,-0.06387981127721161,0.06387981127721161,Negative
st_num_tickets_roll4_mean,0.0630040870010623,0.0630040870010623,Positive
st_num_tickets_lag2,0.061777015719019744,0.061777015719019744,Positive
follower_asian_lag4,-0.06079967768568549,0.06079967768568549,Negative
dma_count_tickets_t_roll8_mean,-0.060692687183236525,0.060692687183236525,Negative
dma_count_tickets_t_lag4,-0.060473457215443734,0.060473457215443734,Negative
st_num_tickets_lag4,0.05780508009602334,0.05780508009602334,Positive
dma_count_tickets_t_roll8_std,-0.05427203660397996,0.05427203660397996,Negative
follower_white_lag4,0.04519522199055364,0.04519522199055364,Positive
dma_count_tickets_t_roll4_std,-0.03465808500312596,0.03465808500312596,Negative
engagement_rate_roll4_std,0.03457204814988924,0.03457204814988924,Positive
engagement_rate_roll8_std,0.03432167085216308,0.03432167085216308,Positive
follower_lang_pt_lag4,0.03267143935762377,0.03267143935762377,Positive
follower_african_american_lag2,-0.0314424761590967,0.0314424761590967,Negative
follower_lang_de_lag1,-0.030174886939812743,0.030174886939812743,Negative
dma_count_tickets_l_roll8_std,-0.027218703895239435,0.027218703895239435,Negative
dma_count_tickets_l_roll4_std,-0.02602749626295887,0.02602749626295887,Negative
dma_count_tickets_l_lag2,-0.02507991772839412,0.02507991772839412,Negative
dma_count_tickets_l_lag4,-0.024425489917280566,0.024425489917280566,Negative
dma_count_streams_lag4,0.024035929002573942,0.024035929002573942,Positive
dma_count_streams_roll4_mean,0.023997102787181774,0.023997102787181774,Positive
dma_count_streams_lag1,0.023904085265055948,0.023904085265055948,Positive
dma_count_streams_lag2,0.023815822727636216,0.023815822727636216,Positive
follower_african_american_lag4,-0.02359821326859521,0.02359821326859521,Negative
dma_count_tickets_l_roll4_mean,-0.023284225470193435,0.023284225470193435,Negative
dma_count_tickets_l_roll8_mean,-0.02327674163537952,0.02327674163537952,Negative
follower_white_lag1,0.022878116176099906,0.022878116176099906,Positive
follower_white_lag2,0.02157386291712625,0.02157386291712625,Positive
follower_hispanic_lag1,-0.021001122213011304,0.021001122213011304,Negative
dma_count_tickets_l_lag1,-0.020947722578946754,0.020947722578946754,Negative
follower_lang_es_lag1,-0.019378960402973013,0.019378960402973013,Negative
engagement_rate_lag4,0.01829182074507884,0.01829182074507884,Positive
follower_lang_pt_lag2,0.01641777846831053,0.01641777846831053,Positive
follower_african_american_growth_1w,0.01567942130032643,0.01567942130032643,Positive
follower_lang_zh_lag1,-0.013892134163002359,0.013892134163002359,Negative
follower_lang_de_lag4,0.013196659750851013,0.013196659750851013,Positive
follower_lang_pt_lag1,-0.012669991167664556,0.012669991167664556,Negative
follower_white_growth_4w,-0.012491639738355797,0.012491639738355797,Negative
follower_lang_en_lag4,0.011362313150781237,0.011362313150781237,Positive
dma_count_streams_roll4_std,-0.010660505168075556,0.010660505168075556,Negative
follower_lang_en_lag1,0.010553597746623636,0.010553597746623636,Positive
engagement_rate_lag2,0.010336244855392319,0.010336244855392319,Positive
follower_white_growth_1w,-0.009057026504662596,0.009057026504662596,Negative
follower_lang_fr_lag2,-0.008834062442778354,0.008834062442778354,Negative
follower_lang_en_lag2,0.008369311008243811,0.008369311008243811,Positive
follower_african_american_growth_4w,-0.008200451611880348,0.008200451611880348,Negative
follower_lang_zh_lag2,-0.00809117750130867,0.00809117750130867,Negative
follower_asian_lag1,-0.007636997703784025,0.007636997703784025,Negative
dma_count_streams_growth_4w,-0.006234439179268379,0.006234439179268379,Negative
dma_count_streams_roll8_mean,0.0045417463802636905,0.0045417463802636905,Positive
st_num_tickets_roll4_std,0.004494401197786278,0.004494401197786278,Positive
follower_lang_fr_lag4,-0.004382677316242477,0.004382677316242477,Negative
follower_asian_lag2,-0.004291764860340774,0.004291764860340774,Negative
follower_lang_es_lag4,-0.004194777485090003,0.004194777485090003,Negative
follower_lang_de_lag2,0.0033082044646529935,0.0033082044646529935,Positive
follower_african_american_lag1,0.0026360709069110392,0.0026360709069110392,Positive
dma_count_streams_growth_1w,0.0022860226308912246,0.0022860226308912246,Positive
follower_lang_zh_lag4,0.0021636190135021403,0.0021636190135021403,Positive
follower_hispanic_lag2,-0.0021628618638739722,0.0021628618638739722,Negative
st_num_tickets_roll8_std,0.001979133217928407,0.001979133217928407,Positive
follower_lang_es_lag2,-0.00032911601035033925,0.00032911601035033925,Negative
follower_hispanic_lag4,-6.543958302752095e-05,6.543958302752095e-05,Negative
